region,unit,vintage,time,value
PAC,ngcc_Nccs,2050,2040,0.00
PAC,ngcc_Nccs,2050,2045,0.00
PAC,ngcc_Nccs,2050,2050,0.00
PAC,ngcc_Nccs,2050,2075,0.00
PAC,ngcc_Nccs,2075,2010,0.00
PAC,ngcc_Nccs,2075,2015,0.00
PAC,ngcc_Nccs,2075,2020,0.00
PAC,ngcc_Nccs,2075,2025,0.00
PAC,ngcc_Nccs,2075,2030,0.00
PAC,ngcc_Nccs,2075,2035,0.00
PAC,ngcc_Nccs,2075,2040,0.00
PAC,ngcc_Nccs,2075,2045,0.00
PAC,ngcc_Nccs,2075,2050,0.00
PAC,ngcc_Nccs,2075,2075,0.00
PAC,ngtb_N,2010,2010,0.00
PAC,ngtb_N,2010,2015,0.00
PAC,ngtb_N,2010,2020,0.00
PAC,ngtb_N,2010,2025,0.00
PAC,ngtb_N,2010,2030,0.00
PAC,ngtb_N,2010,2035,0.00
PAC,ngtb_N,2010,2040,0.00
PAC,ngtb_N,2010,2045,0.00
PAC,ngtb_N,2010,2050,0.00
PAC,ngtb_N,2010,2075,0.00
PAC,ngtb_N,2015,2010,0.00
PAC,ngtb_N,2015,2015,0.00
PAC,ngtb_N,2015,2020,0.00
PAC,ngtb_N,2015,2025,0.00
PAC,ngtb_N,2015,2030,0.00
PAC,ngtb_N,2015,2035,0.00
PAC,ngtb_N,2015,2040,0.00
PAC,ngtb_N,2015,2045,0.00
PAC,ngtb_N,2015,2050,0.00
PAC,ngtb_N,2015,2075,0.00
PAC,ngtb_N,2020,2010,0.00
PAC,ngtb_N,2020,2015,0.00
PAC,ngtb_N,2020,2020,0.00
PAC,ngtb_N,2020,2025,0.00
PAC,ngtb_N,2020,2030,0.00
PAC,ngtb_N,2020,2035,0.00
PAC,ngtb_N,2020,2040,0.00
PAC,ngtb_N,2020,2045,0.00
PAC,ngtb_N,2020,2050,0.00
PAC,ngtb_N,2020,2075,0.00
PAC,ngtb_N,2025,2010,0.00
PAC,ngtb_N,2025,2015,0.00
PAC,ngtb_N,2025,2020,0.00
PAC,ngtb_N,2025,2025,0.00
PAC,ngtb_N,2025,2030,0.00
PAC,ngtb_N,2025,2035,0.00
PAC,ngtb_N,2025,2040,0.00
PAC,ngtb_N,2025,2045,0.00
PAC,ngtb_N,2025,2050,0.00
PAC,ngtb_N,2025,2075,0.00
PAC,ngtb_N,2030,2010,0.00
PAC,ngtb_N,2030,2015,0.00
PAC,ngtb_N,2030,2020,0.00
PAC,ngtb_N,2030,2025,0.00
PAC,ngtb_N,2030,2030,0.00
PAC,ngtb_N,2030,2035,0.00
PAC,ngtb_N,2030,2040,0.00
PAC,ngtb_N,2030,2045,0.00
PAC,ngtb_N,2030,2050,0.00
PAC,ngtb_N,2030,2075,0.00
PAC,ngtb_N,2035,2010,0.00
PAC,ngtb_N,2035,2015,0.00
PAC,ngtb_N,2035,2020,0.00
PAC,ngtb_N,2035,2025,0.00
PAC,ngtb_N,2035,2030,0.00
PAC,ngtb_N,2035,2035,0.00
PAC,ngtb_N,2035,2040,0.00
PAC,ngtb_N,2035,2045,0.00
PAC,ngtb_N,2035,2050,0.00
PAC,ngtb_N,2035,2075,0.00
PAC,ngtb_N,2040,2010,0.00
PAC,ngtb_N,2040,2015,0.00
PAC,ngtb_N,2040,2020,0.00
PAC,ngtb_N,2040,2025,0.00
PAC,ngtb_N,2040,2030,0.00
PAC,ngtb_N,2040,2035,0.00
PAC,ngtb_N,2040,2040,0.00
PAC,ngtb_N,2040,2045,0.00
PAC,ngtb_N,2040,2050,0.00
PAC,ngtb_N,2040,2075,0.00
PAC,ngtb_N,2045,2010,0.00
PAC,ngtb_N,2045,2015,0.00
PAC,ngtb_N,2045,2020,0.00
PAC,ngtb_N,2045,2025,0.00
PAC,ngtb_N,2045,2030,0.00
PAC,ngtb_N,2045,2035,0.00
PAC,ngtb_N,2045,2040,0.00
PAC,ngtb_N,2045,2045,0.00
PAC,ngtb_N,2045,2050,0.00
PAC,ngtb_N,2045,2075,0.00
PAC,ngtb_N,2050,2010,0.00
PAC,ngtb_N,2050,2015,0.00
PAC,ngtb_N,2050,2020,0.00
PAC,ngtb_N,2050,2025,0.00
PAC,ngtb_N,2050,2030,0.00
PAC,ngtb_N,2050,2035,0.00
PAC,ngtb_N,2050,2040,0.00
PAC,ngtb_N,2050,2045,0.00
PAC,ngtb_N,2050,2050,0.00
PAC,ngtb_N,2050,2075,0.00
PAC,ngtb_N,2075,2010,0.00
PAC,ngtb_N,2075,2015,0.00
PAC,ngtb_N,2075,2020,0.00
PAC,ngtb_N,2075,2025,0.00
PAC,ngtb_N,2075,2030,0.00
PAC,ngtb_N,2075,2035,0.00
PAC,ngtb_N,2075,2040,0.00
PAC,ngtb_N,2075,2045,0.00
PAC,ngtb_N,2075,2050,0.00
PAC,ngtb_N,2075,2075,0.00
PAC,nuc_N,2010,2010,0.00
PAC,nuc_N,2010,2015,0.00
PAC,nuc_N,2010,2020,0.00
PAC,nuc_N,2010,2025,0.00
PAC,nuc_N,2010,2030,0.00
PAC,nuc_N,2010,2035,0.00
PAC,nuc_N,2010,2040,0.00
PAC,nuc_N,2010,2045,0.00
PAC,nuc_N,2010,2050,0.00
PAC,nuc_N,2010,2075,0.00
PAC,nuc_N,2015,2010,0.00
PAC,nuc_N,2015,2015,0.00
PAC,nuc_N,2015,2020,0.00
PAC,nuc_N,2015,2025,0.00
PAC,nuc_N,2015,2030,0.00
PAC,nuc_N,2015,2035,0.00
PAC,nuc_N,2015,2040,0.00
PAC,nuc_N,2015,2045,0.00
PAC,nuc_N,2015,2050,0.00
PAC,nuc_N,2015,2075,0.00
PAC,nuc_N,2020,2010,0.00
PAC,nuc_N,2020,2015,0.00
PAC,nuc_N,2020,2020,0.00
PAC,nuc_N,2020,2025,0.00
PAC,nuc_N,2020,2030,0.00
PAC,nuc_N,2020,2035,0.00
PAC,nuc_N,2020,2040,0.00
PAC,nuc_N,2020,2045,0.00
PAC,nuc_N,2020,2050,0.00
PAC,nuc_N,2020,2075,0.00
PAC,nuc_N,2025,2010,0.00
PAC,nuc_N,2025,2015,0.00
PAC,nuc_N,2025,2020,0.00
PAC,nuc_N,2025,2025,0.00
PAC,nuc_N,2025,2030,0.00
PAC,nuc_N,2025,2035,0.00
PAC,nuc_N,2025,2040,0.00
PAC,nuc_N,2025,2045,0.00
PAC,nuc_N,2025,2050,0.00
PAC,nuc_N,2025,2075,0.00
PAC,nuc_N,2030,2010,0.00
PAC,nuc_N,2030,2015,0.00
PAC,nuc_N,2030,2020,0.00
PAC,nuc_N,2030,2025,0.00
PAC,nuc_N,2030,2030,0.00
PAC,nuc_N,2030,2035,0.00
PAC,nuc_N,2030,2040,0.00
PAC,nuc_N,2030,2045,0.00
PAC,nuc_N,2030,2050,0.00
PAC,nuc_N,2030,2075,0.00
PAC,nuc_N,2035,2010,0.00
PAC,nuc_N,2035,2015,0.00
PAC,nuc_N,2035,2020,0.00
PAC,nuc_N,2035,2025,0.00
PAC,nuc_N,2035,2030,0.00
PAC,nuc_N,2035,2035,0.00
PAC,nuc_N,2035,2040,0.00
PAC,nuc_N,2035,2045,0.00
PAC,nuc_N,2035,2050,0.00
PAC,nuc_N,2035,2075,0.00
PAC,nuc_N,2040,2010,0.00
PAC,nuc_N,2040,2015,0.00
PAC,nuc_N,2040,2020,0.00
PAC,nuc_N,2040,2025,0.00
PAC,nuc_N,2040,2030,0.00
PAC,nuc_N,2040,2035,0.00
PAC,nuc_N,2040,2040,0.00
PAC,nuc_N,2040,2045,0.00
PAC,nuc_N,2040,2050,0.00
PAC,nuc_N,2040,2075,0.00
PAC,nuc_N,2045,2010,0.00
PAC,nuc_N,2045,2015,0.00
PAC,nuc_N,2045,2020,0.00
PAC,nuc_N,2045,2025,0.00
PAC,nuc_N,2045,2030,0.00
PAC,nuc_N,2045,2035,0.00
PAC,nuc_N,2045,2040,0.00
PAC,nuc_N,2045,2045,0.00
PAC,nuc_N,2045,2050,0.00
PAC,nuc_N,2045,2075,0.00
PAC,nuc_N,2050,2010,0.00
PAC,nuc_N,2050,2015,0.00
PAC,nuc_N,2050,2020,0.00
PAC,nuc_N,2050,2025,0.00
PAC,nuc_N,2050,2030,0.00
PAC,nuc_N,2050,2035,0.00
PAC,nuc_N,2050,2040,0.00
PAC,nuc_N,2050,2045,0.00
PAC,nuc_N,2050,2050,0.00
PAC,nuc_N,2050,2075,0.00
PAC,nuc_N,2075,2010,0.00
PAC,nuc_N,2075,2015,0.00
PAC,nuc_N,2075,2020,0.00
PAC,nuc_N,2075,2025,0.00
PAC,nuc_N,2075,2030,0.00
PAC,nuc_N,2075,2035,0.00
PAC,nuc_N,2075,2040,0.00
PAC,nuc_N,2075,2045,0.00
PAC,nuc_N,2075,2050,0.00
PAC,nuc_N,2075,2075,0.00
PAC,bio_N,2010,2010,0.00
PAC,bio_N,2010,2015,0.00
PAC,bio_N,2010,2020,0.00
PAC,bio_N,2010,2025,0.00
PAC,bio_N,2010,2030,0.00
PAC,bio_N,2010,2035,0.00
PAC,bio_N,2010,2040,0.00
PAC,bio_N,2010,2045,0.00
PAC,bio_N,2010,2050,0.00
PAC,bio_N,2010,2075,0.00
PAC,bio_N,2015,2010,0.00
PAC,bio_N,2015,2015,0.00
PAC,bio_N,2015,2020,0.00
PAC,bio_N,2015,2025,0.00
PAC,bio_N,2015,2030,0.00
PAC,bio_N,2015,2035,0.00
PAC,bio_N,2015,2040,0.00
PAC,bio_N,2015,2045,0.00
PAC,bio_N,2015,2050,0.00
PAC,bio_N,2015,2075,0.00
PAC,bio_N,2020,2010,0.00
PAC,bio_N,2020,2015,0.00
PAC,bio_N,2020,2020,0.00
PAC,bio_N,2020,2025,0.00
PAC,bio_N,2020,2030,0.00
PAC,bio_N,2020,2035,0.00
PAC,bio_N,2020,2040,0.00
PAC,bio_N,2020,2045,0.00
PAC,bio_N,2020,2050,0.00
PAC,bio_N,2020,2075,0.00
PAC,bio_N,2025,2010,0.00
PAC,bio_N,2025,2015,0.00
PAC,bio_N,2025,2020,0.00
PAC,bio_N,2025,2025,0.00
PAC,bio_N,2025,2030,0.00
PAC,bio_N,2025,2035,0.00
PAC,bio_N,2025,2040,0.00
PAC,bio_N,2025,2045,0.00
PAC,bio_N,2025,2050,0.00
PAC,bio_N,2025,2075,0.00
PAC,bio_N,2030,2010,0.00
PAC,bio_N,2030,2015,0.00
PAC,bio_N,2030,2020,0.00
PAC,bio_N,2030,2025,0.00
PAC,bio_N,2030,2030,0.00
PAC,bio_N,2030,2035,0.00
PAC,bio_N,2030,2040,0.00
PAC,bio_N,2030,2045,0.00
PAC,bio_N,2030,2050,0.00
PAC,bio_N,2030,2075,0.00
PAC,bio_N,2035,2010,0.00
PAC,bio_N,2035,2015,0.00
PAC,bio_N,2035,2020,0.00
PAC,bio_N,2035,2025,0.00
PAC,bio_N,2035,2030,0.00
PAC,bio_N,2035,2035,1.98
PAC,bio_N,2035,2040,1.98
PAC,bio_N,2035,2045,1.98
PAC,bio_N,2035,2050,1.98
PAC,bio_N,2035,2075,1.98
PAC,bio_N,2040,2010,0.00
PAC,bio_N,2040,2015,0.00
PAC,bio_N,2040,2020,0.00
PAC,bio_N,2040,2025,0.00
PAC,bio_N,2040,2030,0.00
PAC,bio_N,2040,2035,0.00
PAC,bio_N,2040,2040,0.99
PAC,bio_N,2040,2045,0.99
PAC,bio_N,2040,2050,0.99
PAC,bio_N,2040,2075,0.99
PAC,bio_N,2045,2010,0.00
PAC,bio_N,2045,2015,0.00
PAC,bio_N,2045,2020,0.00
PAC,bio_N,2045,2025,0.00
PAC,bio_N,2045,2030,0.00
PAC,bio_N,2045,2035,0.00
PAC,bio_N,2045,2040,0.00
PAC,bio_N,2045,2045,0.00
PAC,bio_N,2045,2050,0.00
PAC,bio_N,2045,2075,0.00
PAC,bio_N,2050,2010,0.00
PAC,bio_N,2050,2015,0.00
PAC,bio_N,2050,2020,0.00
PAC,bio_N,2050,2025,0.00
PAC,bio_N,2050,2030,0.00
PAC,bio_N,2050,2035,0.00
PAC,bio_N,2050,2040,0.00
PAC,bio_N,2050,2045,0.00
PAC,bio_N,2050,2050,0.00
PAC,bio_N,2050,2075,0.00
PAC,bio_N,2075,2010,0.00
PAC,bio_N,2075,2015,0.00
PAC,bio_N,2075,2020,0.00
PAC,bio_N,2075,2025,0.00
PAC,bio_N,2075,2030,0.00
PAC,bio_N,2075,2035,0.00
PAC,bio_N,2075,2040,0.00
PAC,bio_N,2075,2045,0.00
PAC,bio_N,2075,2050,0.00
PAC,bio_N,2075,2075,0.00
PAC,fc_N,2010,2010,0.00
PAC,fc_N,2010,2015,0.00
PAC,fc_N,2010,2020,0.00
PAC,fc_N,2010,2025,0.00
PAC,fc_N,2010,2030,0.00
PAC,fc_N,2010,2035,0.00
PAC,fc_N,2010,2040,0.00
PAC,fc_N,2010,2045,0.00
PAC,fc_N,2010,2050,0.00
PAC,fc_N,2010,2075,0.00
PAC,fc_N,2015,2010,0.00
PAC,fc_N,2015,2015,0.00
PAC,fc_N,2015,2020,0.00
PAC,fc_N,2015,2025,0.00
PAC,fc_N,2015,2030,0.00
PAC,fc_N,2015,2035,0.00
PAC,fc_N,2015,2040,0.00
PAC,fc_N,2015,2045,0.00
PAC,fc_N,2015,2050,0.00
PAC,fc_N,2015,2075,0.00
PAC,fc_N,2020,2010,0.00
PAC,fc_N,2020,2015,0.00
PAC,fc_N,2020,2020,0.00
PAC,fc_N,2020,2025,0.00
PAC,fc_N,2020,2030,0.00
PAC,fc_N,2020,2035,0.00
PAC,fc_N,2020,2040,0.00
PAC,fc_N,2020,2045,0.00
PAC,fc_N,2020,2050,0.00
PAC,fc_N,2020,2075,0.00
PAC,fc_N,2025,2010,0.00
PAC,fc_N,2025,2015,0.00
PAC,fc_N,2025,2020,0.00
PAC,fc_N,2025,2025,0.00
PAC,fc_N,2025,2030,0.00
PAC,fc_N,2025,2035,0.00
PAC,fc_N,2025,2040,0.00
PAC,fc_N,2025,2045,0.00
PAC,fc_N,2025,2050,0.00
PAC,fc_N,2025,2075,0.00
PAC,fc_N,2030,2010,0.00
PAC,fc_N,2030,2015,0.00
PAC,fc_N,2030,2020,0.00
PAC,fc_N,2030,2025,0.00
PAC,fc_N,2030,2030,0.00
PAC,fc_N,2030,2035,0.00
PAC,fc_N,2030,2040,0.00
PAC,fc_N,2030,2045,0.00
PAC,fc_N,2030,2050,0.00
PAC,fc_N,2030,2075,0.00
PAC,fc_N,2035,2010,0.00
PAC,fc_N,2035,2015,0.00
PAC,fc_N,2035,2020,0.00
PAC,fc_N,2035,2025,0.00
PAC,fc_N,2035,2030,0.00
PAC,fc_N,2035,2035,0.00
PAC,fc_N,2035,2040,0.00
PAC,fc_N,2035,2045,0.00
PAC,fc_N,2035,2050,0.00
PAC,fc_N,2035,2075,0.00
PAC,fc_N,2040,2010,0.00
PAC,fc_N,2040,2015,0.00
PAC,fc_N,2040,2020,0.00
PAC,fc_N,2040,2025,0.00
PAC,fc_N,2040,2030,0.00
PAC,fc_N,2040,2035,0.00
PAC,fc_N,2040,2040,0.00
PAC,fc_N,2040,2045,0.00
PAC,fc_N,2040,2050,0.00
PAC,fc_N,2040,2075,0.00
PAC,fc_N,2045,2010,0.00
PAC,fc_N,2045,2015,0.00
PAC,fc_N,2045,2020,0.00
PAC,fc_N,2045,2025,0.00
PAC,fc_N,2045,2030,0.00
PAC,fc_N,2045,2035,0.00
PAC,fc_N,2045,2040,0.00
PAC,fc_N,2045,2045,0.00
PAC,fc_N,2045,2050,0.00
PAC,fc_N,2045,2075,0.00
PAC,fc_N,2050,2010,0.00
PAC,fc_N,2050,2015,0.00
PAC,fc_N,2050,2020,0.00
PAC,fc_N,2050,2025,0.00
PAC,fc_N,2050,2030,0.00
PAC,fc_N,2050,2035,0.00
PAC,fc_N,2050,2040,0.00
PAC,fc_N,2050,2045,0.00
PAC,fc_N,2050,2050,0.00
PAC,fc_N,2050,2075,0.00
PAC,fc_N,2075,2010,0.00
PAC,fc_N,2075,2015,0.00
PAC,fc_N,2075,2020,0.00
PAC,fc_N,2075,2025,0.00
PAC,fc_N,2075,2030,0.00
PAC,fc_N,2075,2035,0.00
PAC,fc_N,2075,2040,0.00
PAC,fc_N,2075,2045,0.00
PAC,fc_N,2075,2050,0.00
PAC,fc_N,2075,2075,0.00
PAC,slrPV_N,2010,2010,0.00
PAC,slrPV_N,2010,2015,0.00
PAC,slrPV_N,2010,2020,0.00
PAC,slrPV_N,2010,2025,0.00
PAC,slrPV_N,2010,2030,0.00
PAC,slrPV_N,2010,2035,0.00
PAC,slrPV_N,2010,2040,0.00
PAC,slrPV_N,2010,2045,0.00
PAC,slrPV_N,2010,2050,0.00
PAC,slrPV_N,2010,2075,0.00
PAC,slrPV_N,2015,2010,0.00
PAC,slrPV_N,2015,2015,0.00
PAC,slrPV_N,2015,2020,0.00
PAC,slrPV_N,2015,2025,0.00
PAC,slrPV_N,2015,2030,0.00
PAC,slrPV_N,2015,2035,0.00
PAC,slrPV_N,2015,2040,0.00
PAC,slrPV_N,2015,2045,0.00
PAC,slrPV_N,2015,2050,0.00
PAC,slrPV_N,2015,2075,0.00
PAC,slrPV_N,2020,2010,0.00
PAC,slrPV_N,2020,2015,0.00
PAC,slrPV_N,2020,2020,0.00
PAC,slrPV_N,2020,2025,0.00
PAC,slrPV_N,2020,2030,0.00
PAC,slrPV_N,2020,2035,0.00
PAC,slrPV_N,2020,2040,0.00
PAC,slrPV_N,2020,2045,0.00
PAC,slrPV_N,2020,2050,0.00
PAC,slrPV_N,2020,2075,0.00
PAC,slrPV_N,2025,2010,0.00
PAC,slrPV_N,2025,2015,0.00
PAC,slrPV_N,2025,2020,0.00
PAC,slrPV_N,2025,2025,0.00
PAC,slrPV_N,2025,2030,0.00
PAC,slrPV_N,2025,2035,0.00
PAC,slrPV_N,2025,2040,0.00
PAC,slrPV_N,2025,2045,0.00
PAC,slrPV_N,2025,2050,0.00
PAC,slrPV_N,2025,2075,0.00
PAC,slrPV_N,2030,2010,0.00
PAC,slrPV_N,2030,2015,0.00
PAC,slrPV_N,2030,2020,0.00
PAC,slrPV_N,2030,2025,0.00
PAC,slrPV_N,2030,2030,0.00
PAC,slrPV_N,2030,2035,0.00
PAC,slrPV_N,2030,2040,0.00
PAC,slrPV_N,2030,2045,0.00
PAC,slrPV_N,2030,2050,0.00
PAC,slrPV_N,2030,2075,0.00
PAC,slrPV_N,2035,2010,0.00
PAC,slrPV_N,2035,2015,0.00
PAC,slrPV_N,2035,2020,0.00
PAC,slrPV_N,2035,2025,0.00
PAC,slrPV_N,2035,2030,0.00
PAC,slrPV_N,2035,2035,0.00
PAC,slrPV_N,2035,2040,0.00
PAC,slrPV_N,2035,2045,0.00
PAC,slrPV_N,2035,2050,0.00
PAC,slrPV_N,2035,2075,0.00
PAC,slrPV_N,2040,2010,0.00
PAC,slrPV_N,2040,2015,0.00
PAC,slrPV_N,2040,2020,0.00
PAC,slrPV_N,2040,2025,0.00
PAC,slrPV_N,2040,2030,0.00
PAC,slrPV_N,2040,2035,0.00
PAC,slrPV_N,2040,2040,0.00
PAC,slrPV_N,2040,2045,0.00
PAC,slrPV_N,2040,2050,0.00
PAC,slrPV_N,2040,2075,0.00
PAC,slrPV_N,2045,2010,0.00
PAC,slrPV_N,2045,2015,0.00
PAC,slrPV_N,2045,2020,0.00
PAC,slrPV_N,2045,2025,0.00
PAC,slrPV_N,2045,2030,0.00
PAC,slrPV_N,2045,2035,0.00
PAC,slrPV_N,2045,2040,0.00
PAC,slrPV_N,2045,2045,0.00
PAC,slrPV_N,2045,2050,0.00
PAC,slrPV_N,2045,2075,0.00
PAC,slrPV_N,2050,2010,0.00
PAC,slrPV_N,2050,2015,0.00
PAC,slrPV_N,2050,2020,0.00
PAC,slrPV_N,2050,2025,0.00
PAC,slrPV_N,2050,2030,0.00
PAC,slrPV_N,2050,2035,0.00
PAC,slrPV_N,2050,2040,0.00
PAC,slrPV_N,2050,2045,0.00
PAC,slrPV_N,2050,2050,0.00
PAC,slrPV_N,2050,2075,0.00
PAC,slrPV_N,2075,2010,0.00
PAC,slrPV_N,2075,2015,0.00
PAC,slrPV_N,2075,2020,0.00
PAC,slrPV_N,2075,2025,0.00
PAC,slrPV_N,2075,2030,0.00
PAC,slrPV_N,2075,2035,0.00
PAC,slrPV_N,2075,2040,0.00
PAC,slrPV_N,2075,2045,0.00
PAC,slrPV_N,2075,2050,0.00
PAC,slrPV_N,2075,2075,0.00
PAC,slrCSP_N,2010,2010,0.00
PAC,slrCSP_N,2010,2015,0.00
PAC,slrCSP_N,2010,2020,0.00
PAC,slrCSP_N,2010,2025,0.00
PAC,slrCSP_N,2010,2030,0.00
PAC,slrCSP_N,2010,2035,0.00
PAC,slrCSP_N,2010,2040,0.00
PAC,slrCSP_N,2010,2045,0.00
PAC,slrCSP_N,2010,2050,0.00
PAC,slrCSP_N,2010,2075,0.00
PAC,slrCSP_N,2015,2010,0.00
PAC,slrCSP_N,2015,2015,0.00
PAC,slrCSP_N,2015,2020,0.00
PAC,slrCSP_N,2015,2025,0.00
PAC,slrCSP_N,2015,2030,0.00
PAC,slrCSP_N,2015,2035,0.00
PAC,slrCSP_N,2015,2040,0.00
PAC,slrCSP_N,2015,2045,0.00
PAC,slrCSP_N,2015,2050,0.00
PAC,slrCSP_N,2015,2075,0.00
PAC,slrCSP_N,2020,2010,0.00
PAC,slrCSP_N,2020,2015,0.00
PAC,slrCSP_N,2020,2020,0.00
PAC,slrCSP_N,2020,2025,0.00
PAC,slrCSP_N,2020,2030,0.00
PAC,slrCSP_N,2020,2035,0.00
PAC,slrCSP_N,2020,2040,0.00
PAC,slrCSP_N,2020,2045,0.00
PAC,slrCSP_N,2020,2050,0.00
PAC,slrCSP_N,2020,2075,0.00
PAC,slrCSP_N,2025,2010,0.00
PAC,slrCSP_N,2025,2015,0.00
PAC,slrCSP_N,2025,2020,0.00
PAC,slrCSP_N,2025,2025,0.00
PAC,slrCSP_N,2025,2030,0.00
PAC,slrCSP_N,2025,2035,0.00
PAC,slrCSP_N,2025,2040,0.00
PAC,slrCSP_N,2025,2045,0.00
PAC,slrCSP_N,2025,2050,0.00
PAC,slrCSP_N,2025,2075,0.00
PAC,slrCSP_N,2030,2010,0.00
PAC,slrCSP_N,2030,2015,0.00
PAC,slrCSP_N,2030,2020,0.00
PAC,slrCSP_N,2030,2025,0.00
PAC,slrCSP_N,2030,2030,0.00
PAC,slrCSP_N,2030,2035,0.00
PAC,slrCSP_N,2030,2040,0.00
PAC,slrCSP_N,2030,2045,0.00
PAC,slrCSP_N,2030,2050,0.00
PAC,slrCSP_N,2030,2075,0.00
PAC,slrCSP_N,2035,2010,0.00
PAC,slrCSP_N,2035,2015,0.00
PAC,slrCSP_N,2035,2020,0.00
PAC,slrCSP_N,2035,2025,0.00
PAC,slrCSP_N,2035,2030,0.00
PAC,slrCSP_N,2035,2035,0.00
PAC,slrCSP_N,2035,2040,0.00
PAC,slrCSP_N,2035,2045,0.00
PAC,slrCSP_N,2035,2050,0.00
PAC,slrCSP_N,2035,2075,0.00
PAC,slrCSP_N,2040,2010,0.00
PAC,slrCSP_N,2040,2015,0.00
PAC,slrCSP_N,2040,2020,0.00
PAC,slrCSP_N,2040,2025,0.00
PAC,slrCSP_N,2040,2030,0.00
PAC,slrCSP_N,2040,2035,0.00
PAC,slrCSP_N,2040,2040,0.00
PAC,slrCSP_N,2040,2045,0.00
PAC,slrCSP_N,2040,2050,0.00
PAC,slrCSP_N,2040,2075,0.00
PAC,slrCSP_N,2045,2010,0.00
PAC,slrCSP_N,2045,2015,0.00
PAC,slrCSP_N,2045,2020,0.00
PAC,slrCSP_N,2045,2025,0.00
PAC,slrCSP_N,2045,2030,0.00
PAC,slrCSP_N,2045,2035,0.00
PAC,slrCSP_N,2045,2040,0.00
PAC,slrCSP_N,2045,2045,0.00
PAC,slrCSP_N,2045,2050,0.00
PAC,slrCSP_N,2045,2075,0.00
PAC,slrCSP_N,2050,2010,0.00
PAC,slrCSP_N,2050,2015,0.00
PAC,slrCSP_N,2050,2020,0.00
PAC,slrCSP_N,2050,2025,0.00
PAC,slrCSP_N,2050,2030,0.00
PAC,slrCSP_N,2050,2035,0.00
PAC,slrCSP_N,2050,2040,0.00
PAC,slrCSP_N,2050,2045,0.00
PAC,slrCSP_N,2050,2050,0.00
PAC,slrCSP_N,2050,2075,0.00
PAC,slrCSP_N,2075,2010,0.00
PAC,slrCSP_N,2075,2015,0.00
PAC,slrCSP_N,2075,2020,0.00
PAC,slrCSP_N,2075,2025,0.00
PAC,slrCSP_N,2075,2030,0.00
PAC,slrCSP_N,2075,2035,0.00
PAC,slrCSP_N,2075,2040,0.00
PAC,slrCSP_N,2075,2045,0.00
PAC,slrCSP_N,2075,2050,0.00
PAC,slrCSP_N,2075,2075,4.19
PAC,col_X1,2010,2010,0.00
PAC,col_X1,2010,2015,0.00
PAC,col_X1,2010,2020,0.00
PAC,col_X1,2010,2025,0.00
PAC,col_X1,2010,2030,0.00
PAC,col_X1,2010,2035,0.00
PAC,col_X1,2010,2040,0.00
PAC,col_X1,2010,2045,0.00
PAC,col_X1,2010,2050,0.00
PAC,col_X1,2010,2075,0.00
PAC,col_X1,2015,2010,0.00
PAC,col_X1,2015,2015,0.00
PAC,col_X1,2015,2020,0.00
PAC,col_X1,2015,2025,0.00
PAC,col_X1,2015,2030,0.00
PAC,col_X1,2015,2035,0.00
PAC,col_X1,2015,2040,0.00
PAC,col_X1,2015,2045,0.00
PAC,col_X1,2015,2050,0.00
PAC,col_X1,2015,2075,0.00
PAC,col_X1,2020,2010,0.00
PAC,col_X1,2020,2015,0.00
PAC,col_X1,2020,2020,0.00
PAC,col_X1,2020,2025,0.00
PAC,col_X1,2020,2030,0.00
PAC,col_X1,2020,2035,0.00
PAC,col_X1,2020,2040,0.00
PAC,col_X1,2020,2045,0.00
PAC,col_X1,2020,2050,0.00
PAC,col_X1,2020,2075,0.00
PAC,col_X1,2025,2010,0.00
PAC,col_X1,2025,2015,0.00
PAC,col_X1,2025,2020,0.00
PAC,col_X1,2025,2025,0.00
PAC,col_X1,2025,2030,0.00
PAC,col_X1,2025,2035,0.00
PAC,col_X1,2025,2040,0.00
PAC,col_X1,2025,2045,0.00
PAC,col_X1,2025,2050,0.00
PAC,col_X1,2025,2075,0.00
PAC,col_X1,2030,2010,0.00
PAC,col_X1,2030,2015,0.00
PAC,col_X1,2030,2020,0.00
PAC,col_X1,2030,2025,0.00
PAC,col_X1,2030,2030,0.00
PAC,col_X1,2030,2035,0.00
PAC,col_X1,2030,2040,0.00
PAC,col_X1,2030,2045,0.00
PAC,col_X1,2030,2050,0.00
PAC,col_X1,2030,2075,0.00
PAC,col_X1,2035,2010,0.00
PAC,col_X1,2035,2015,0.00
PAC,col_X1,2035,2020,0.00
PAC,col_X1,2035,2025,0.00
PAC,col_X1,2035,2030,0.00
PAC,col_X1,2035,2035,0.00
PAC,col_X1,2035,2040,0.00
PAC,col_X1,2035,2045,0.00
PAC,col_X1,2035,2050,0.00
PAC,col_X1,2035,2075,0.00
PAC,col_X1,2040,2010,0.00
PAC,col_X1,2040,2015,0.00
PAC,col_X1,2040,2020,0.00
PAC,col_X1,2040,2025,0.00
PAC,col_X1,2040,2030,0.00
PAC,col_X1,2040,2035,0.00
PAC,col_X1,2040,2040,0.00
PAC,col_X1,2040,2045,0.00
PAC,col_X1,2040,2050,0.00
PAC,col_X1,2040,2075,0.00
PAC,col_X1,2045,2010,0.00
PAC,col_X1,2045,2015,0.00
PAC,col_X1,2045,2020,0.00
PAC,col_X1,2045,2025,0.00
PAC,col_X1,2045,2030,0.00
PAC,col_X1,2045,2035,0.00
